Bond_rate
3.07
3.323
3.27
3.133
2.957
2.877
2.883
2.887
2.98
3.033
3.1
3.117
3.097
3.263
3.423
3.677
3.7
3.773
4.07
3.997
3.607
3.58
3.87
4.093
4.13
4.353
4.473
4.57
4.553
4.453
4.313
4.32
4.27
4.283
4.437
4.41
4.41
4.297
4.337
4.257
4.197
4.22
4.287
4.333
4.37
4.407
4.41
4.43
4.42
4.443
4.497
4.613
4.813
5.003
5.32
5.383
5.12
5.263
5.617
6.027
6.127
6.253
6.077
6.243
6.7
6.887
7.063
7.467
7.893
8.14
8.22
7.907
