Investimento
69.6
67.6
69.5
74.7
77.1
77.4
76.6
76.1
71.8
68.9
68.5
70.6
75.4
82.3
88.2
86.9
83.4
80.3
79.4
78.6
79.3
80.3
79.3
80.6
83.9
84.2
84.4
83.8
82.8
84.1
87
88.5
92.1
96.1
98.3
98.8
96.6
97.4
97.6
96.6
96.2
95.3
96.4
94.9
90
87.2
88
93
98.3
101.6
102.6
101.4
102.9
101.8
98.8
98.6
97.7
99.2
101.3
104.6
106.1
109.9
111.1
110.1
110.7
116
118.5
122
124
124
124.9
126.4
133.4
137.9
140.1
143.8
147.5
146.2
145
139.7
136.4
139.6
141.1
145.5
148.9
148.9
150.7
155
159.1
158.4
158.1
154.3
151.8
150
150.4
149.5
154.3
158.4
162.1
166
172.3
176.1
178.2
182.7
